1 2 3 4 5 6
1 2 3 4 5 6
1 2 3 4 5 6
7 8 9 10 5 6
1 11 12 13 5 6
1 14 15 16 5 6
1 2 3 4 5 6
1 17 18 19 5 6
20 8 9 21 5 22
1 17 18 23 5 22
1 17 18 23 5 22
1 17 24 25 5 22
1 17 18 23 5 22
26 8 9 27 5 22
1 17 18 23 5 22
28 8 9 29 5 22
1 17 18 23 5 22
1 17 18 30 5 31
32 8 9 33 5 31
1 17 18 30 5 31
34 8 9 35 5 31
1 17 18 30 5 31
36 8 9 37 5 31
1 17 18 30 5 31
38 8 9 39 5 31
38 8 9 39 5 31
1 17 18 30 5 31
40 8 9 41 5 31
1 17 18 30 5 31
42 8 9 43 5 31
1 17 18 30 5 31
34 8 9 35 5 31
1 17 18 30 5 31
44 8 9 45 5 46
1 17 18 47 5 46
44 8 9 45 5 46
1 17 18 47 5 46
48 8 9 49 5 46
1 17 18 47 5 46
1 17 18 47 5 46
50 8 9 51 5 46
1 17 18 47 5 46
52 8 9 53 5 46
1 17 18 47 5 46
1 17 18 54 5 55
28 8 9 56 5 55
1 17 18 54 5 55
57 8 9 58 5 59
1 17 18 60 5 59
1 17 18 61 5 62
36 8 9 63 5 62
1 17 18 61 5 62
28 8 9 64 5 62
1 17 18 61 5 62
65 8 9 66 5 67
1 17 18 68 5 67
69 8 9 70 5 67
1 17 18 68 5 67
32 8 9 33 5 71
1 17 18 30 5 71
44 8 9 72 5 73
1 17 18 74 5 73
75 8 9 76 5 73
1 17 18 74 5 73
48 8 9 77 5 73
1 17 18 74 5 73
78 79 80 81 5 82
78 79 80 81 5 82
78 79 9 83 5 82
78 79 80 81 5 82
78 79 9 83 5 82
26 8 9 84 5 82
26 8 9 84 5 82
1 17 18 85 5 82
28 8 9 86 5 82
28 8 9 86 5 82
1 17 18 85 5 82
1 17 18 85 5 82
1 17 18 19 5 87
88 8 9 89 5 87
88 17 90 91 5 87
1 17 18 19 5 87
1 17 18 19 5 87
88 17 90 91 5 87
1 17 18 19 5 87
