1 2 3 4 5 6
1 2 3 4 5 6
1 2 3 4 5 6
5 6 7 8 9 10
1 5 6 11 12 13
1 5 6 14 15 16
1 2 3 4 5 6
1 5 6 17 18 19
5 8 9 20 21 22
1 5 17 18 22 23
1 5 17 18 22 23
1 5 17 22 24 25
1 5 17 18 22 23
5 8 9 22 26 27
1 5 17 18 22 23
5 8 9 22 28 29
1 5 17 18 22 23
1 5 17 18 30 31
5 8 9 31 32 33
1 5 17 18 30 31
5 8 9 31 34 35
1 5 17 18 30 31
5 8 9 31 36 37
1 5 17 18 30 31
5 8 9 31 38 39
5 8 9 31 38 39
1 5 17 18 30 31
5 8 9 31 40 41
1 5 17 18 30 31
5 8 9 31 42 43
1 5 17 18 30 31
5 8 9 31 34 35
1 5 17 18 30 31
5 8 9 44 45 46
1 5 17 18 46 47
5 8 9 44 45 46
1 5 17 18 46 47
5 8 9 46 48 49
1 5 17 18 46 47
1 5 17 18 46 47
5 8 9 46 50 51
1 5 17 18 46 47
5 8 9 46 52 53
1 5 17 18 46 47
1 5 17 18 54 55
5 8 9 28 55 56
1 5 17 18 54 55
5 8 9 57 58 59
1 5 17 18 59 60
1 5 17 18 61 62
5 8 9 36 62 63
1 5 17 18 61 62
5 8 9 28 62 64
1 5 17 18 61 62
5 8 9 65 66 67
1 5 17 18 67 68
5 8 9 67 69 70
1 5 17 18 67 68
5 8 9 32 33 71
1 5 17 18 30 71
5 8 9 44 72 73
1 5 17 18 73 74
5 8 9 73 75 76
1 5 17 18 73 74
5 8 9 48 73 77
1 5 17 18 73 74
5 78 79 80 81 82
5 78 79 80 81 82
5 9 78 79 82 83
5 78 79 80 81 82
5 9 78 79 82 83
5 8 9 26 82 84
5 8 9 26 82 84
1 5 17 18 82 85
5 8 9 28 82 86
5 8 9 28 82 86
1 5 17 18 82 85
1 5 17 18 82 85
1 5 17 18 19 87
5 8 9 87 88 89
5 17 87 88 90 91
1 5 17 18 19 87
1 5 17 18 19 87
5 17 87 88 90 91
1 5 17 18 19 87
